,r,b,tau,kk,__lnsigma
23273,2.4591723785651618e-11,117.81982563891869,31.48229978160286,-1.1620573345783709e-12,-4.8407871260761075
15380,2.2736547789618148e-11,122.43015225555075,30.279239455111338,-1.0781264272482037e-12,-4.963474944543046
25208,2.1637997628812975e-11,133.14873220393014,30.23336839458719,-1.1197047566205471e-12,-4.81777421359093
21156,2.269102721423889e-11,134.17528082728757,31.675598421661,-1.128746016362708e-12,-4.917206257342265
25954,2.1418191875428088e-11,137.32595313966027,31.040057645566737,-1.053382323064263e-12,-4.921171373140304
17744,1.9170904038204007e-11,152.61166965312998,30.505769468391318,-9.86224464801389e-13,-4.873365953406343
20093,2.354513856443174e-11,146.50961515225185,33.41627094269836,-1.2716831127213745e-12,-4.88184922909926
17169,1.8588817239632016e-11,161.4273152491786,30.71424661388618,-9.519221827537092e-13,-4.899624627016945
25227,1.9903450853974112e-11,140.30453218935526,30.034272291398356,-9.907281044772874e-13,-4.957394186913772
26642,2.3689895560614666e-11,119.09842591149186,30.670119943110578,-1.160118518666854e-12,-4.938452279469633
20459,2.369189853183593e-11,111.5264425610147,30.28208937436649,-1.1016567306438785e-12,-4.956510251744556
21773,2.5557753080122894e-11,109.52896700762157,31.080698354457354,-1.2726237706012018e-12,-4.918835220969182
27968,1.944427230039046e-11,183.3149799695271,32.749822292171416,-1.0693154820040324e-12,-4.8765707846985205
24269,2.332088513726193e-11,135.44199117529246,32.02256386436676,-1.1698652211787384e-12,-4.833059462921811
16181,2.1192810159450834e-11,137.17730092007514,30.56538643085492,-1.0523367869976153e-12,-4.921324451871978
23730,2.020019710332056e-11,136.92046977131716,30.387202290155308,-9.446221232000821e-13,-4.9009417965529884
21192,1.978198854804588e-11,176.20883005341554,32.77172073095885,-1.0469708802808644e-12,-4.968952205431909
26919,2.2140143762375163e-11,122.69918864633927,30.10586258861975,-1.0094560071191204e-12,-4.791100054333764
19324,1.8991489901060766e-11,174.3321969461071,32.24147901344996,-1.0123629385953877e-12,-4.850671904401205
24258,1.9538119863546213e-11,143.74745114527286,30.037636946105977,-9.770472332578694e-13,-4.869344892536036
21894,2.1036831020000657e-11,142.60083040347016,31.31953685735547,-1.0423194643585598e-12,-4.898844442257147
15014,2.2677122999458678e-11,129.48481387632518,31.20140724922861,-1.1151701604641874e-12,-4.940036431363034
25574,1.8794837007987034e-11,150.70594856519915,30.060090651399747,-9.112025098963085e-13,-4.8858303563525265
16156,2.077565829373942e-11,158.59493932107463,32.652109177675,-1.057421244300272e-12,-4.814359477174132
15602,2.3268559804701064e-11,113.80892909419714,30.026382571965,-1.082837844259884e-12,-4.97179801354599
17675,1.9235714059999714e-11,151.46665568979145,30.630569189622957,-9.179327160302033e-13,-4.838926163647497
24032,1.8829307883697875e-11,182.48112663984716,32.6722563952849,-9.978379387654126e-13,-4.812966229396032
23082,2.2934435011756114e-11,127.73757402550245,31.79531181015159,-1.0356103316474664e-12,-4.813768037494309
22641,2.089785729172162e-11,146.94904069519143,31.111099012501892,-1.0707672478948006e-12,-4.85449880778352
22052,2.208169299541939e-11,131.98195735561717,30.518971610109997,-1.1356846172699286e-12,-4.968208192698726
15715,1.9085774764308658e-11,146.65057732327708,30.03590713976968,-9.697771982616344e-13,-4.807530559981752
27402,1.954859616684071e-11,143.98677576142308,30.157092630077226,-9.538233188044446e-13,-5.010556083558222
24184,2.2638993645072115e-11,128.39222908430284,30.43297456113418,-1.1423074941790807e-12,-4.940235382820726
28342,2.420325345506035e-11,143.85153315012116,33.71385590644338,-1.2668218362167344e-12,-4.76988716974464
20771,2.4155718943308448e-11,121.54204769452392,31.66462849704822,-1.1188160911526222e-12,-4.880695845910863
24250,2.5567806950259086e-11,114.09186682461126,31.402240030435813,-1.2100777806366617e-12,-4.806614642061377
27261,2.2207719212081307e-11,129.84069550309084,31.017132947453984,-1.0676272445151198e-12,-4.8023197992817055
16248,2.6081750329617125e-11,101.10882289839775,30.27788774812293,-1.1700512374370098e-12,-4.988797707128766
17936,2.3554003814135e-11,124.43206322395426,31.551692619237453,-1.0923181975343916e-12,-4.859419230428688
25886,2.1008153689658666e-11,127.59625056443191,30.086791114588884,-9.89065779241884e-13,-4.863815355778855
19625,2.341999012519115e-11,123.47155840666669,31.010692588304615,-1.1470017552752923e-12,-4.879252960272421
16265,2.2958350917687346e-11,131.45280522177964,31.62865961524145,-1.1773757957571047e-12,-4.941523555214866
26125,1.8845943843426035e-11,169.67521789842402,31.23857505455422,-1.0146555180648593e-12,-4.914532965377452
16473,2.124229232944872e-11,132.24734815767374,30.506503420589347,-1.0462158840684544e-12,-4.903368630383139
22592,2.0672737935008386e-11,141.3253855427639,30.253340442780647,-1.0508753461799363e-12,-4.843661777832841
17336,2.349362765121714e-11,153.1846225170086,33.48724838108768,-1.31254682398162e-12,-4.82185955592228
16216,2.2659173698395096e-11,123.08431291006862,30.206346809890523,-1.0909819574200237e-12,-4.9683449822866095
27045,1.7262889627818447e-11,185.09318803366554,30.864078959215824,-9.466834057801197e-13,-4.87302110026928
20505,2.2136322690665723e-11,123.2594852242305,30.206923560210072,-1.0119437576160619e-12,-5.039258781378426
22395,2.1697059293467967e-11,130.59918400088958,30.11414246728905,-1.0278723922758009e-12,-4.836450420811098
22885,2.525195956513998e-11,128.21268048737917,32.72396902781119,-1.3234042974256752e-12,-4.818718764468313
22330,2.5012032953501412e-11,110.13745481257496,30.479662242241762,-1.2272819494641975e-12,-4.875971794805354
