,ki,kb
22369,1.1677765333371295,-1.0369129989495502
21007,1.1434135166180583,-1.1490595792158727
18596,1.1284603198606094,-1.2877691891080583
17375,1.145020889322944,-1.1309183428310872
22755,1.1300376659225706,-1.0800071648354508
18761,1.120440074801239,-1.513159608671097
26510,1.1518488750799267,-1.0232978740979033
16891,1.1337742195686353,-0.7671228087189054
16888,1.1589976724923432,-1.0929963152680269
17463,1.1399546990207665,-1.0575751546290608
27794,1.1478547626260336,-0.826544292348071
22803,1.1287642713177426,-1.1020162947942225
21565,1.1246294026793446,-1.3487923272563929
25717,1.1606394567304337,-0.7917858295959398
19974,1.137067887763736,-1.3175488463908458
26544,1.1564633726700078,-0.8035658015944862
24315,1.1445286489245883,-1.2770391788176023
19338,1.14052250357995,-0.9843319393301596
21500,1.1381921072948418,-1.3054298192215474
22647,1.1371279803651746,-1.2194055440526463
21132,1.1126974466887287,-1.1357420943135463
26846,1.145032983775552,-0.7809766819470249
26267,1.1350893887642572,-1.3096206893647686
20279,1.1481529604882887,-1.5632485881450884
21569,1.1329805856124369,-1.004941568308126
26273,1.1285251284849769,-1.3265496099119904
27146,1.1323541993674697,-1.0446190754245495
28167,1.1533165855729381,-1.3823897979927702
18908,1.1374003591993056,-1.0262384576755947
25016,1.1383782506302036,-1.1648238236361061
21753,1.1197618791802855,-1.0094109044266097
27394,1.122500517451906,-1.1271997391799469
25036,1.171345966104959,-1.1117621014609278
20341,1.146811887474322,-0.9919234101444131
25261,1.1468533298752261,-1.0160373105945946
16016,1.1620723874578796,-1.1307889616994735
24070,1.1350233187528778,-1.1028359963692917
24080,1.1365456921257744,-1.142868177521186
23650,1.1461328296406277,-0.9315033920783897
15648,1.1418277611119003,-1.0630415288705497
19380,1.1712194699215126,-1.3675259395862467
22065,1.1324882288123388,-1.0080063510865676
20604,1.156056035952566,-1.224058168746777
26480,1.1720794962497574,-1.3141119204627503
21046,1.1371770806463775,-1.4713688952950899
27497,1.163265851065724,-1.2037693109709315
18043,1.1584005538606132,-0.9426595947164903
23064,1.1316277334180356,-1.4561758299001353
19720,1.1572183112131478,-1.1444723353656254
17139,1.1432957240124098,-1.0040821713863286
19201,1.1571631812764271,-1.1223330743853344
15427,1.1275616003167062,-1.116900664076445
23635,1.1291124557309506,-1.3983034208868892
19108,1.1368762708555986,-1.188008178581737
23550,1.1488006317614048,-1.1591822775226694
21879,1.1143480038259834,-1.1589020552360072
28066,1.1697509263082242,-1.0797309356776732
21284,1.1682710972882475,-1.3152939119838856
19639,1.1607827208942874,-1.2873477096133956
17823,1.1330958569982692,-1.1619878852675707
23339,1.1489835419552012,-1.229683416204318
16876,1.1429895507981838,-1.2227111388067207
16852,1.1353715231492276,-1.1395068078885005
27477,1.1500719235441044,-1.10336698404232
18083,1.15442915051005,-0.8629785957677083
26642,1.1396858705931523,-1.1272180638376381
22381,1.143838001667105,-1.4265045009768045
26359,1.1268898177630404,-0.9233847917830063
22257,1.1464193245939025,-1.1309763432349793
19530,1.1345904727408294,-1.1577861638301057
23321,1.145167155452372,-0.9527758374067062
26784,1.1681019555904444,-1.1011174672842057
18583,1.1275555270043551,-1.4123555635863994
27740,1.1444961026184681,-1.0364162502984005
21301,1.1207951108305536,-0.7788100807329292
21839,1.139326387251127,-0.8252138842578791
18003,1.1538127525085413,-0.9137362019207911
23188,1.129151318828619,-0.7872637501931385
26901,1.165806695149573,-1.264764826246915
19929,1.1380117069714852,-1.075934863413882
16295,1.148854247597146,-1.1409640836984638
18345,1.1270678423205507,-0.7845696871495274
19876,1.1461223453353901,-1.2924817740921244
27624,1.142470020314942,-0.8503583223784288
20839,1.136754868345538,-0.826950341032364
21022,1.1588845032838833,-1.338888891431897
25395,1.1142490020820885,-1.072949979967706
18723,1.1354375647350068,-1.4139617066552166
27184,1.1546175486435333,-1.1402364955553024
25092,1.1345072232371023,-1.3576288097470093
25497,1.1452478493954368,-0.9034609082939371
18588,1.1424432059577416,-1.0385273201246947
15725,1.1481413021034292,-0.9644118078272101
24421,1.1496218881773945,-1.3610768853420048
19730,1.1560168415912253,-1.04100627080132
19442,1.1300774739509634,-0.9434891752768932
18811,1.147465875333174,-1.286914761353945
22991,1.1396106941081516,-1.3629218167458457
20398,1.1584103554297385,-0.9627374671049346
28128,1.1465819043667789,-0.8164452975414149
22592,1.118158187714309,-0.8580613196276814
15473,1.1094237333700159,-1.4680319505727497
21123,1.1219558537260126,-0.7463968740299254
16221,1.134873405736462,-0.9580947783114752
27729,1.120457553248786,-1.2567273806654529
16929,1.1364878437590578,-1.021886470071785
25641,1.166809320341541,-1.042575898548552
21942,1.1208047238716763,-1.1574414179299521
25741,1.141639431115631,-1.138082909115142
18629,1.1421376945282782,-1.0367167390407332
15520,1.139495969906377,-1.0000729357897098
18209,1.148031544489313,-0.8357248643648318
19843,1.125569161045678,-1.0919603233055721
19165,1.1106882887243967,-1.0143704830687164
28316,1.1244089386059832,-0.996891474845906
17960,1.1430234681107752,-0.9362037818697317
20308,1.1616864250441157,-1.4205027464039406
27558,1.1531552823708793,-0.9499514606917632
18758,1.1162344650757687,-1.2523542566396144
28417,1.1075900303250097,-0.8419887707160056
15117,1.1435971676390964,-0.8624127483448814
17485,1.138998432145406,-0.8109743282078917
26558,1.1691962232815327,-0.9466917088602923
17811,1.119862597773445,-1.3567201568797849
16962,1.1554391331544747,-1.1122013471812002
24672,1.1482109440202648,-1.169655822836105
21533,1.1411442141040833,-0.9372973032541244
27341,1.135022642795937,-1.009122833242203
26763,1.1459763205585811,-0.9820264511062848
21074,1.1644471820037006,-1.073727332323063
26355,1.1424814615063859,-0.8141142662329337
24834,1.1278284736968194,-1.2700468244054712
16329,1.1455520341863137,-1.1242710707930528
23856,1.1561066998994836,-0.9213108060426058
15519,1.15115948893268,-1.265519904482277
26697,1.151978432768259,-1.066752986925822
20149,1.1341613610819328,-0.9378194867751721
16730,1.1170908233782102,-0.9578747430739472
22740,1.1648946512893072,-1.5563117503496926
15630,1.1455024941364962,-0.9093742704827616
26527,1.1539729310283997,-1.1120085836680167
22582,1.1192929933783684,-0.9804591338124748
26187,1.1304945275457707,-0.988720611246925
18177,1.1384005418199092,-1.0505768169757435
26160,1.1574676583339976,-0.7890701458941973
18801,1.1489581391397148,-1.0055136784413887
28035,1.1594826229279005,-1.0949181875042133
18858,1.1548340598513733,-1.2211094351015275
25550,1.1592756772301456,-1.3060842107571853
15318,1.1326763508047255,-1.438307615688759
25631,1.144034997752863,-1.281859255998459
24379,1.1539545501718402,-1.0439472589930072
24792,1.1697980760430895,-1.1326040433512647
24659,1.1550135622458355,-1.0914921351762192
18968,1.143635712798231,-1.079249842828348
25478,1.144880394250869,-1.126664293285153
19012,1.145138353693816,-1.127041373747962
16985,1.1420369657624532,-1.3247309328647308
24092,1.1280416496159764,-1.2497506941802359
21809,1.1569622300280618,-1.2250108640501256
27815,1.1333672541691615,-1.5023477841451707
27121,1.1348921556112608,-0.9462173705520234
17709,1.1325019434286554,-1.5751555568284705
15359,1.122357452005086,-1.2770430270260438
20545,1.1256292184994496,-1.1577873495741042
16604,1.143508664715962,-1.180212617600119
15297,1.1537325716357762,-1.0276813604497257
17179,1.139160329049221,-1.3276364508912684
17764,1.1430226965145567,-1.0088801518628698
26236,1.1270802856111564,-1.428545866649474
26576,1.126262752543575,-1.026926075330248
26239,1.1460425578898266,-1.3025056633296699
23590,1.1257379493495303,-1.295673902802707
25003,1.1446366071061504,-0.8959160198933077
18050,1.1518666322810562,-0.940220301520994
20612,1.164257047033305,-1.3104365415227552
18409,1.141489445333211,-0.9208586402364554
19922,1.1301307795720819,-1.1773074758275868
18682,1.132222612314099,-0.9867197610102104
18971,1.1334070877439986,-0.906848162034816
20727,1.139786770266904,-1.2690059268536604
23767,1.1565026899872908,-1.2408439606773285
28229,1.1614619442357186,-1.1244891381013435
27093,1.1481245412199688,-1.0028993069481902
24379,1.1539545501718402,-1.0439472589930072
25532,1.149021718324404,-1.0625234224504678
24582,1.1542957176230133,-1.0730721020577
22570,1.1553960411678683,-1.076483594271833
17586,1.150263398991807,-0.877143421922469
17232,1.1455729604582083,-0.8842992479988583
24158,1.1244715184694212,-0.8032565297729264
15608,1.1266418198729358,-1.2616123184394243
26514,1.1327824675059566,-1.2199607031422572
