,ki,kb
18553,0.9144279953711729,-0.6970500538795821
15582,0.9081798690348577,-0.6989090928496574
15479,0.9219520402739168,-0.7456373539426954
18480,0.9026092077930237,-0.7746923243420266
20079,0.8973460461546753,-0.6654816567023015
19135,0.9470852199944882,-0.7099832179259069
25072,0.9393675905325154,-0.6845191022161158
26498,0.923150973047184,-0.8407231110506014
23365,0.9544940838678003,-0.7795806935574969
25341,0.9244624273146415,-0.8899911004676243
25888,0.9595007853690142,-0.8735902226461914
19998,0.9201837656531847,-0.6913377597020881
28231,0.9553341136994773,-0.7023109166208206
25905,0.9203856672224939,-0.8967513072147903
21779,0.9092827623709505,-0.8150593923214594
15922,0.938446022000272,-0.7228305304444654
19902,0.9200749981688062,-0.7439064522732258
15228,0.9007128265143807,-0.813930566999675
27457,0.9321716237014053,-0.6554943814154565
23432,0.9269568976105135,-0.7168642364689288
25818,0.9519446752381504,-0.8395474368235192
18885,0.9280254049830825,-0.7050649295178724
17145,0.925712686292785,-0.7499763256539428
22401,0.9404089213848593,-0.8433394109615128
21694,0.9186712784820117,-0.6575150793559368
19544,0.9349288568995964,-0.6182584849015111
25148,0.927851418863025,-0.7584958524423474
17859,0.9100197379251019,-0.7155716440306956
16188,0.9384977184622174,-0.6792443476431171
16411,0.8965640105060478,-0.8011653826920049
25931,0.9255600489739554,-0.6572904541351025
17224,0.9166827730280926,-0.6882117634930994
25040,0.9426826441883633,-0.7788134627614861
22295,0.9308320835826158,-0.7085022469975392
21993,0.9121389546313088,-0.6987272340968386
26620,0.9616420704181591,-0.724449093441737
21746,0.9149845203710896,-0.6783204064282375
27897,0.9169162514817335,-0.8760376528241358
22007,0.9329475186311524,-0.6981543346903347
20436,0.9116752777241702,-0.7534872828351294
16389,0.9228288608363656,-0.6659175829698344
24789,0.9463911106377476,-0.7910565058315067
27443,0.9482952855893663,-0.7350747396747237
27725,0.935293619570432,-0.9007257815633516
24682,0.9567933065074286,-0.6772467937373932
15443,0.9397836252607235,-0.7221324127328056
26204,0.9276905554036824,-0.8177426742267513
21086,0.9360662044962165,-0.7941874113689427
17559,0.9095303478357558,-0.7927350480782576
17680,0.9163278651474714,-0.7247811239453652
17908,0.9045555782097985,-0.6304038853338896
18237,0.9570798118036247,-0.6937190521475128
19755,0.9400859021356184,-0.7409648996098589
17483,0.9448135745148557,-0.7668272138686418
19602,0.9466519356542207,-0.8260250788274264
19848,0.9472180475632407,-0.8428945628750941
18392,0.909262663548771,-0.6934141710864716
25709,0.908529086308217,-0.6385594147736413
28459,0.9126210002900255,-0.763447620130308
19882,0.9372507294813149,-0.6927797656417989
25601,0.9331414646936921,-0.7336015991749003
27021,0.9274283930107321,-0.6605110530534137
20971,0.9312886240060114,-0.8757604963549223
24632,0.9368673952549486,-0.6584511188226605
17053,0.902395023034228,-0.8692872642417881
17290,0.9231033357661212,-0.6991519500367647
17110,0.8956960900154636,-0.6772927870806544
27712,0.9433075864899083,-0.670468734173298
16050,0.9218976559534072,-0.6362767804884681
28252,0.9437445346834994,-0.720650451502919
22210,0.9271753211914348,-0.6954815467671305
17046,0.9472803526745439,-0.6746124088777204
16754,0.933119658219043,-0.8409966944997131
21471,0.9160116095534664,-0.7297542015415381
26400,0.9241275832605338,-0.7318242309199421
24850,0.925857745037443,-0.7470751319617241
23346,0.9621224539711245,-0.7423824035516678
17994,0.937651866262428,-0.6353054651940169
19836,0.9441254189631216,-0.6499811602970458
21594,0.914948956901371,-0.6863438230071822
18084,0.9396051014769957,-0.6939852610224962
19274,0.9470921083606351,-0.7164599061458257
17022,0.9073579004150839,-0.6283941991564991
22627,0.9339043605697166,-0.6913647699439173
22584,0.9150356468389966,-0.8456289979753162
25544,0.9405869790935811,-0.7100912992615043
15743,0.905939361600094,-0.7116133644654412
18961,0.9285576882956683,-0.7300341600792749
22331,0.9251592597834299,-0.6493746704096262
27492,0.9123482479786913,-0.7021084429583737
16661,0.932405125319493,-0.6538542779240292
16065,0.9307918552677856,-0.7150166954651227
24907,0.9385322094999362,-0.8327423727848771
16392,0.9133730095711786,-0.7906269239933602
25923,0.9158719310892258,-0.6461686505144355
21519,0.9125098491520682,-0.6213221898089738
23943,0.9489797320842219,-0.8334194637907477
15670,0.93956858628867,-0.6482214606012684
16393,0.9149054808954742,-0.6472502380292071
19667,0.9117988961668289,-0.7465792501853423
16450,0.9285861601367517,-0.7393619498781975
21177,0.9204036185547482,-0.675330563873639
17579,0.898027782470383,-0.7551736855068033
20285,0.9428868715970076,-0.736464261387033
17246,0.9490571182793068,-0.7157944230902424
19478,0.9294119986970326,-0.7673263047410064
22140,0.9449782610907298,-0.7967625186820534
19196,0.9379514763749321,-0.6992209220653208
26627,0.9114590542409337,-0.7167896509367482
15095,0.9036798936836875,-0.653352867377665
26925,0.9255951787621636,-0.7083640781196936
22566,0.9606059867177656,-0.7936817258708321
25330,0.9431817161776446,-0.7277318011265951
15262,0.9413175887873935,-0.7219201620808398
16132,0.9296789966568257,-0.7097576086882805
22804,0.945370038703498,-0.7361824402000134
23564,0.9053906622436756,-0.7215306459926247
17492,0.9526578523844261,-0.6652843216327147
24836,0.9172544678150508,-0.7964385971995126
15262,0.9413175887873935,-0.7219201620808398
15301,0.9141602266526706,-0.7882524150093599
27771,0.9522191681520646,-0.8276244008326052
22165,0.9230043837086742,-0.6821124688931878
27269,0.9369281598242559,-0.8918163415555201
20408,0.9634802552867322,-0.69193603466721
28040,0.915897341163845,-0.7727306023945152
23292,0.8993904734725564,-0.7278719275362949
22105,0.9089345304128712,-0.6743147918719579
22427,0.9331688703627071,-0.7424097168652666
27260,0.9620831680185866,-0.6876310433547259
23248,0.9428187548093588,-0.7857766089572259
25865,0.9323206125988499,-0.7030017217561748
23784,0.894417668757847,-0.8396894763773691
21200,0.8938364419855385,-0.7119443412995803
20258,0.9465121137033876,-0.8204616733485406
16961,0.9326297212269704,-0.6647897889843521
23785,0.9216803722931076,-0.888422518807533
25800,0.9508141228697883,-0.6949877202513494
23934,0.9370523166681862,-0.8543943634650439
18779,0.9542724957395564,-0.866758461724386
21554,0.9321443252059484,-0.8454404112603023
24830,0.9194265783267835,-0.7055687013760702
19363,0.914380631410522,-0.693049668828663
15600,0.9487063858903998,-0.6716498645349186
21449,0.9449923143615296,-0.8080906696422108
22201,0.9550381211089035,-0.748431828977799
19857,0.9405426019217897,-0.8916104932028908
21016,0.9327255815040698,-0.6822388868357192
21901,0.9313595190306778,-0.6232480935951116
25557,0.9064007849463623,-0.6477435306610623
26550,0.9425002970337004,-0.7118215638530246
17695,0.9339022642249989,-0.862826774434093
19453,0.9260050834220576,-0.7591701303238116
27522,0.9374538484482446,-0.6832181122351276
22198,0.9219424139619227,-0.8435025225896756
24557,0.9212539765078399,-0.6935354465739159
22910,0.9418866318896087,-0.7359633270551891
15457,0.9414169254673157,-0.6940032195756055
22890,0.895139665146371,-0.6321494372129297
19862,0.9366628037168886,-0.7110565729743396
25924,0.9373035416636637,-0.8143664401687833
25116,0.9263881943423329,-0.7382949897374844
22149,0.9404983992464105,-0.7971681198131336
16510,0.9326173179916842,-0.6700366391449557
26509,0.9160467634964179,-0.6603071984430579
17839,0.9474637841818032,-0.7663914929078037
22070,0.9076441499980681,-0.775788260513931
19244,0.9242903518493354,-0.6818065525220185
17511,0.9324732171296309,-0.7098841509922382
25100,0.8933592131457403,-0.6529302024210425
22623,0.954432454506843,-0.7293323963457458
22633,0.90986402316472,-0.6556409548737414
22644,0.9429310954939923,-0.7753111989872419
17639,0.9153924374415292,-0.7034346598057674
28129,0.9260395109466948,-0.6682781244112996
19730,0.91853813478271,-0.8061345278728871
26182,0.9319428914836393,-0.8708789149440861
27592,0.9215308426395136,-0.759216202448223
26432,0.912157472663683,-0.7296872308948621
28341,0.9336470901682753,-0.7001069537650633
17222,0.908320877486224,-0.7718727737384018
17039,0.9437818759779661,-0.7645711820928567
23052,0.9138953109231822,-0.804851713958005
21049,0.927912728781309,-0.6356783836494242
21325,0.9458257455584885,-0.6997285672024648
18391,0.9279046907526325,-0.7997346062282833
18178,0.9151394449161396,-0.7234662077323013
26330,0.9250886591185433,-0.8078920236721882
25665,0.9058956543183195,-0.7818667307642608
15669,0.9178232805120253,-0.7823919333432553
19042,0.9209675047856749,-0.7990204119347418
15465,0.9135558759449106,-0.6772666284643919
27072,0.9312005586720513,-0.6998352973834013
28208,0.963618230269546,-0.8207997201915971
23819,0.9042294159701347,-0.6797186580325786
17470,0.9079946200823212,-0.7791242465810747
21501,0.9211669576214386,-0.7851002721787042
20637,0.9149653884258268,-0.6852070695868246
24645,0.9221838569862499,-0.7393270300535644
21579,0.9180300305125066,-0.7268098994272203
