,ki,kb
16685,0.09365579837217622,0.010521664254942198
26981,0.09401913806357438,0.009661989577544003
25694,0.09152297370096954,0.010606086980195344
16029,0.08761535251794003,0.01020528275502535
19727,0.09337005878029649,0.009620480146698114
16331,0.09729625055806661,0.009756980910605166
24184,0.08959584714165456,0.011000908427667065
16171,0.08935501479062297,0.010339122207214316
27357,0.09096075962621591,0.010207483047716199
16564,0.08995901734692087,0.00933454182229974
21418,0.09098979694114319,0.010387900067964001
16731,0.08772377141762765,0.010046630469312916
18126,0.0929890014982202,0.009778974174407996
25061,0.09488097761668661,0.009652264148842965
19832,0.08922767710074926,0.010183510844371234
22387,0.0942570891977029,0.010806027629700126
22725,0.09033242012413448,0.009916465276812112
18630,0.09392424572666185,0.010289398057137354
27896,0.09303190910603223,0.00967112437799526
24061,0.08969207990093471,0.01080576092967826
16106,0.08948816433583567,0.0108314994295943
18864,0.0920397580914546,0.008944951016911985
15745,0.08834783377146954,0.009409533681571606
26613,0.09075662153808238,0.010537961575990639
16302,0.09123922671666021,0.010998774471236532
25319,0.0914847278829629,0.01011326478874112
23135,0.09618787164628408,0.010765024275019278
16429,0.09574543806979949,0.011092769032856676
27772,0.09411141564104854,0.010919314625649735
24690,0.09688390645506521,0.0103126462250079
26345,0.09226782003099246,0.010105826771241635
25779,0.09112754252974455,0.010087879649809721
16802,0.09007264154906705,0.010712409190303886
25523,0.09495041119307347,0.010928547119524297
16710,0.092653935920804,0.010195068883764124
26850,0.09086409895364946,0.010582108916504004
20417,0.09405286250375214,0.01000428769531728
17067,0.09151523720763274,0.010116004364106727
17451,0.0909273769292496,0.010447080835127682
23272,0.09807530341922344,0.010750174960746378
21014,0.08750691480911821,0.009933649677400227
19049,0.08768668654244727,0.010988376858299063
28473,0.09115291526888901,0.01044889405117842
18952,0.08979341755509103,0.011282881380598424
19989,0.09227798068087618,0.010493045762079923
26405,0.09027270265004146,0.011129733071680128
15620,0.0910811092577779,0.010102376871768473
19190,0.09322102690405416,0.010123890326754842
23694,0.09202445796524493,0.010721939169730294
24014,0.09071179417227652,0.010739703670057504
25636,0.09046429037480545,0.010479879734435421
22312,0.08795058734908937,0.009738275649031009
21071,0.08801793809498047,0.009846316256334676
21339,0.08860911540192802,0.010999801232349365
20472,0.08779652370789207,0.01124212760067645
26081,0.08939348757988289,0.010253115315796466
22940,0.09556269742700203,0.009608518916712881
22498,0.09555779601244746,0.010759737452504772
18421,0.09130693505743558,0.010071951102039461
20509,0.09091004402450958,0.008762628026439631
23962,0.09224704421986746,0.009401307138788964
26540,0.09504929149441654,0.010321299192742987
24819,0.09197676230241081,0.01127731625348249
15727,0.09313960518388796,0.010674083399931845
17459,0.09172115825846133,0.009524973508042848
17628,0.08881252876082514,0.010348177836060199
24395,0.09358986297044834,0.010708251152189631
23228,0.09349994932531738,0.010687008421961165
19441,0.08998973733173982,0.010628208180860608
24634,0.09095532336541662,0.010858641616627408
18834,0.08829733387530907,0.010227566241207284
26232,0.09313345557658684,0.010917935707685107
16060,0.0917987590222748,0.010830148758688587
20142,0.09000011422271709,0.01027445431447632
16752,0.08982194221818944,0.010014615340888756
19949,0.08876635278073908,0.010515297359948968
15864,0.09151435697120047,0.010084449813816863
16223,0.09312612945242939,0.010339912003220094
20501,0.0931249827154249,0.010431665604966571
16461,0.09031239172609824,0.010405762366449984
23602,0.09155750386363422,0.01056993754679549
23745,0.09265861078442165,0.009889236352042809
18776,0.09019899160798528,0.009570444146238042
25870,0.09077655511587533,0.009416253215847027
24124,0.09166549133324,0.009644197392276843
27767,0.09249318791201047,0.010687300106413476
17951,0.08852493928634551,0.011034457976977188
25884,0.09010035580559372,0.010471411323665324
15695,0.09221684176590529,0.011078815141470286
21905,0.09158825533352488,0.009749646693102559
16707,0.0932360747681947,0.00945339480405899
25632,0.09038931578772921,0.010156801576624627
28320,0.09172221004375533,0.0096250710289985
