,ki,kb,__lnsigma
0,0.09357938813884052,0.009539538348446237,-5.830116542462017
1,0.08644238440245623,0.011760958460939195,-5.879397469394362
2,0.08750535024696417,0.00867123352785993,-5.89287155247388
3,0.19253805478838149,-9.971860849541937,-3.8805971722403005
4,0.09357315222476771,0.010749705392273472,-5.921670480894387
5,0.09294470384136838,0.009844415079652674,-5.825494607197934
6,0.09399185374032304,0.009867452220244237,-5.976426401485857
7,0.09306771855712358,0.009402039313281839,-5.805417054828393
8,0.08870137149962103,0.009775490999430007,-5.842869908395409
9,0.08924364560353908,0.008517136041639537,-5.830989118973506
10,0.09031056986867546,0.010115341980219059,-5.854177944896369
11,0.09054422490016414,0.010035059459596056,-5.811579516069668
12,0.09046405619344008,0.009447564183082102,-5.828492049312204
13,0.08863763755071605,0.00929106549457554,-5.845409932065286
14,0.08741267591180965,0.008411722220699752,-5.892619323217502
15,0.09163975635862459,0.010327787150336224,-5.763363174602669
16,0.09248815747940746,0.009449865246759321,-5.862582622239341
17,0.09530487555190677,0.010335955555184786,-5.894383161554814
18,0.09462753012803679,0.011282320503129984,-5.925731647333003
19,0.09157327402352121,0.010401483704674334,-5.886877313096009
20,0.0858799738330482,0.010325610032648688,-5.9372071697227975
21,0.0893965389885616,0.010773871803263028,-5.816325358253343
22,0.09183018511995425,0.009549119943037507,-5.873144453773783
23,0.09456198005125317,0.009445350799576218,-5.790177500875742
24,0.09299440244881452,0.009427353232030904,-5.928296643232095
25,0.09402904329368485,0.011248579787796637,-5.84275207748195
26,0.08863216030745164,0.009829817998287376,-5.840909767888016
27,0.09001857236770815,0.009650526546235065,-5.866694865856533
28,0.08916895005573956,0.00905842543925039,-5.929285970253226
29,0.0943848494839025,0.00943698680402793,-5.850070525331367
30,0.08774410917587568,0.010761508652765305,-5.846635602637813
31,0.08827995569988291,0.010884192121790495,-5.9139683385009
32,0.09337292697682982,0.009449131642746566,-5.803035155129058
33,0.17008055115831744,-7.804337034154928,-3.7946492162084984
34,0.09070743137024302,0.009232781345642524,-5.844379027234838
35,0.0883809158330818,0.009505048184535785,-5.997611994510019
36,0.09221857812142965,0.010552378075603469,-5.80832462247762
37,0.09149515913505164,0.01044765114046652,-5.942594314141373
38,0.26315890198878333,-8.337074165087069,-3.856441724828546
39,0.08703590367366881,0.010895417496901288,-5.823486903016282
40,0.09169805397133012,0.00998160121955603,-5.907698598025738
41,0.09119199830694355,0.011209514050593668,-5.797804696095755
42,0.08870174128213497,0.011455128746523165,-5.860634087424668
43,0.22287251159088717,-9.883466253229077,-3.8191383287940535
44,0.08771668669750239,0.010464679691032782,-5.804250170648364
45,0.09065374829022915,0.010019310605861604,-5.848082161550726
46,0.18587663815412658,-8.00086060523619,-3.8532528318892876
47,0.0925862157701642,0.009726446390793862,-5.82036924007559
48,0.08936399830684763,0.009731989210266693,-5.835705826511073
49,0.08948715692583781,0.010453826204312266,-5.8845846486527655
50,0.09124418858710105,0.009612201575733182,-5.842012851337549
51,0.09241603608579757,0.01066264759869564,-5.839894280953166
52,0.09937954626022269,0.00878347166496347,-5.792420727063149
53,0.09312477050979102,0.009779354588702724,-5.867762833237692
54,0.09148505017426194,0.009864791526678938,-5.878343225653669
55,0.16150457731971968,-9.042542329666505,-3.839914984479362
56,0.0922275132149634,0.0104793616797973,-5.844798763170135
57,0.09173330320577282,0.010839103459202184,-5.866321624833477
58,0.22967255810103,-8.35681531679648,-3.8592417148721148
59,0.09083722473083605,0.0107878180981974,-5.873838984954304
60,0.09162245518399564,0.010607464710290147,-5.888618680942753
61,0.09449707908778304,0.00915819483699459,-5.848995351230174
62,0.09203459213182974,0.00990519531885876,-5.838953475155237
63,0.21160155413461945,-8.814252136951088,-3.806423631322094
64,0.09109176214776735,0.01057322264054407,-5.874892630667439
65,0.08829405704722297,0.010521303238758406,-5.927156920324106
66,0.09620215423557682,0.011046793388492253,-5.871364581063985
67,0.09427386173681399,0.010125117597102629,-5.914409566673041
68,0.09328132771313646,0.010592848801003137,-5.873481007262887
69,0.09145784049061194,0.010957386177713767,-5.846445093723509
70,0.09252037061393403,0.012434236642027155,-5.846264054980471
71,0.09363290093398471,0.01052687350425538,-5.991971699529002
72,0.0888903114633375,0.010107219729750561,-5.895575675011649
73,0.08878315865824507,0.011356501229534941,-5.90155157409285
74,0.09292920921125772,0.010055935250091855,-5.80560023415071
75,0.24257532600226428,-9.44194193729336,-3.887678987193494
76,0.09083029663097565,0.009496832139423206,-5.9130531545483285
77,0.26538275389252675,-8.578467728430155,-3.939680208260925
78,0.09107871038300787,0.010238624187350632,-5.84774439505536
79,0.09175119530371967,0.010295778159234822,-5.871071010931366
80,0.09310734837626093,0.010691155992179168,-5.944805747123225
81,0.09355234520014412,0.010863643885305196,-5.859680687775141
82,0.25180030582690843,-9.35966902119082,-3.875378330440854
83,0.09492183459277106,0.010526481649387937,-5.868175848864954
84,0.0887067277565883,0.010945415305995033,-5.8344758178765375
85,0.09075694916050205,0.01041134894558786,-5.785647987282575
86,0.08941818709894407,0.009752063214519982,-5.852191699014929
87,0.09145880596873295,0.011055866859493668,-5.774290807339863
88,0.24658837691750207,-8.654442137372968,-3.7557165716943417
89,0.09271367071185094,0.009894117381427954,-5.933730891537725
90,0.08765425198472089,0.010799606726692574,-5.8600919194478935
91,0.08915019802365577,0.010674922443940187,-5.821490582662314
92,0.0934199778973345,0.009761330379880537,-5.793573581006589
93,0.09438109677542404,0.009769830238619081,-5.8375961560145875
94,0.08981124328435139,0.010296508076315897,-5.837428979232571
