,ki,kb
23519,0.082637850366104,-0.05826166388131815
26115,0.08498293074231258,-0.05699256331018648
27114,0.08660589799224093,-0.06551659849083108
15823,0.08617109022303213,-0.06517686206645486
27926,0.08391714224033346,-0.06882062152178912
17489,0.08313072107665455,-0.07131903643228572
20718,0.08535615668639004,-0.061024908281605166
25672,0.08488275202897161,-0.06603791414235369
22585,0.08545219152481325,-0.0888937272074893
18034,0.0861390887956344,-0.07736583836844037
25053,0.08419672065047468,-0.06695379172107276
23367,0.08397722031199237,-0.058109513003522024
19762,0.08682062438285248,-0.08832059208534086
24400,0.08811402456381318,-0.08317632235157608
21658,0.08535208961655125,-0.08169281859849535
25683,0.08428407479618638,-0.07311890254332214
23308,0.08471958257132835,-0.07428357833898289
26012,0.08625220682175914,-0.06173243281993032
24330,0.08530687827329521,-0.0888641715594314
23711,0.08400794534556248,-0.07769483016390981
28364,0.08777707276636322,-0.0751259599355149
23825,0.0853148283404052,-0.07349566395483315
21031,0.08687103404054938,-0.06842389196542457
19273,0.08778980475571951,-0.06001192615307319
16794,0.08410367277283443,-0.06813096928308328
25682,0.0860564502451444,-0.08300110635798062
20243,0.08574733982748386,-0.09000683710098284
24516,0.08612353323129221,-0.0680493110446053
23644,0.08401192026869178,-0.07009224840921086
21647,0.08455765455170965,-0.062307295728141726
15447,0.08747455557258108,-0.08406506028983235
19146,0.08626950527918287,-0.07304356208975439
23482,0.08510976321373263,-0.06618358171855819
18029,0.08343312858030423,-0.05768006826439658
21013,0.08392278803846279,-0.07017564832499466
15180,0.08583023230062076,-0.0632982761974718
25325,0.08904429376989985,-0.07462908746425445
15797,0.08414419977915255,-0.07574367127676897
17253,0.08656024064305504,-0.06593880909056009
27241,0.08930877297041721,-0.07218335965036968
19286,0.08460488632843034,-0.08177635663737609
18832,0.08498538244264345,-0.07384840728871997
27997,0.0866351724020267,-0.08150204601626516
27497,0.0829853035142108,-0.06597153851783652
27332,0.08873940406747109,-0.06591025999772543
23980,0.08407732761944632,-0.07575738318317302
23927,0.08367120687834938,-0.07005047575640684
25732,0.08485313190555353,-0.06689284756556722
24979,0.08335501361619158,-0.06884164134081351
17009,0.08526198897326195,-0.06863729904847655
17607,0.08370444987324442,-0.07183297898016126
16291,0.08758125567085959,-0.06839369342809741
16661,0.08307073215420853,-0.05863351264075755
22341,0.08889334446444107,-0.07284069772331338
18725,0.08334111671605819,-0.07933758586071099
17056,0.0842724703532794,-0.08433426362079287
20040,0.08483710983786974,-0.06961639609523092
22417,0.08676283082238881,-0.06896067023407833
27834,0.08335586362877005,-0.08129203708665346
20479,0.0856047941957589,-0.06827545940505832
18588,0.08886777563989,-0.07259953530600809
17151,0.08292011877842291,-0.06991895294698834
25449,0.08749669225264649,-0.06443845301545782
18492,0.08277217507122286,-0.061169885278887975
27799,0.08621609290885446,-0.07465148206347957
26441,0.08588697260887511,-0.05971296511144527
21130,0.08948933718441646,-0.07693401180435555
19599,0.08462477677404165,-0.06306908335857152
18093,0.08186537152212546,-0.06439964128780844
20686,0.08338743924510937,-0.05727837243829177
22685,0.0832952236324694,-0.08221967014170961
25613,0.08643717324532785,-0.07018493623008726
25858,0.08466102644796585,-0.07701396431048793
28475,0.0865045663977287,-0.06985924580918729
26217,0.08389201799022089,-0.06610045552399829
15035,0.08460271679211354,-0.0628847440424679
15356,0.08358755896502429,-0.06749472431440919
17635,0.08931527710340254,-0.08799001368175582
21511,0.08706756740106182,-0.07227731447782464
18888,0.08814780871134681,-0.07249671016669934
23957,0.08541172816544366,-0.07027672962690588
15789,0.0856097646333385,-0.06172962075119363
26612,0.08379392258375211,-0.06578780185003216
22790,0.08304370399761467,-0.06727493657559346
24146,0.08907020063169532,-0.08253973458214393
24783,0.08461810279092306,-0.06546455360544995
27700,0.08449570052943423,-0.06217419874805715
26968,0.08879973719364957,-0.07845272650427104
22016,0.08556008134816688,-0.07726105176917734
21039,0.08486419137791851,-0.05828755189783066
17602,0.08613518699272604,-0.05642461441912717
15473,0.08582699753000525,-0.058830214385613054
18167,0.08512707438639912,-0.08981163477052878
27834,0.08335586362877005,-0.08129203708665346
18298,0.08430029932298698,-0.07093622000996862
17314,0.08670033175601924,-0.06523779422750176
20769,0.0869890639686867,-0.07529802241216889
24964,0.08759951619531633,-0.0656245458909017
17979,0.08720029107655762,-0.06592214980372671
17532,0.08854125764876522,-0.0757531460482267
18141,0.08475302518620517,-0.08114426046901477
22886,0.08714148527193066,-0.06989040633499011
21115,0.08485508545699672,-0.07346957048014185
21800,0.08597114296358813,-0.07517148894429174
23250,0.08670156611298972,-0.058152412139422516
26444,0.08173739278117709,-0.0734649820725232
17234,0.08491195290333214,-0.06638295457441336
20916,0.08858192928289706,-0.08543446148835357
18334,0.08584024718765806,-0.07145456740648971
23760,0.08609398983954646,-0.0789671938749883
23568,0.08277889638230577,-0.05942312179529325
27727,0.08481137225799215,-0.062416467821840425
15746,0.08509841342005851,-0.05806440445974869
26071,0.08459987717914119,-0.08108986805409545
23373,0.08513329064493183,-0.0720765261142279
20578,0.08563251036076443,-0.06067048917037795
18716,0.08690104705694264,-0.07621130139416057
20146,0.08407632004708508,-0.07447302239927554
23917,0.08604966744088198,-0.0677205503379176
22276,0.08335897715669684,-0.06003619170267265
20514,0.08396028897871313,-0.08800561017388683
15478,0.08845412600991827,-0.0581922772294152
15806,0.08876534887714849,-0.08335112201801048
21644,0.08736742111780131,-0.06335365569346195
15879,0.08790620458522941,-0.06598831381587036
22463,0.08284011834288446,-0.06565819758901671
23570,0.08340083099469277,-0.08625788739625104
22929,0.08450805237469838,-0.07703521315847191
15570,0.0868068774673344,-0.0631648824563074
24345,0.08579658304473416,-0.07168510622705213
27121,0.08970382871230537,-0.07348790174721807
22344,0.08749126777126194,-0.0810741446529765
17977,0.0837731515270339,-0.05994708730527781
16258,0.08669937561021614,-0.058649139432020776
19052,0.08393833635903654,-0.057634269377878126
24311,0.08465313769181493,-0.06678554811422424
18507,0.0884860694053477,-0.08814880594713209
25107,0.08736121695451632,-0.06978085785534767
23889,0.0867425808408148,-0.07583814916132191
26945,0.08777362182022458,-0.07662459420156525
17075,0.08574646125063037,-0.058271591121516385
28183,0.08492353434018515,-0.07230296461571067
18376,0.08237636592575331,-0.06612136312802258
20724,0.08581647304194938,-0.08561084374498076
20677,0.08769752886122455,-0.07916526459437441
25149,0.08693953028983184,-0.07473413062777343
21601,0.08611218819642022,-0.07880106126082909
19642,0.0856141579138616,-0.08595008664991766
20300,0.08809657529871708,-0.059460051995582505
17795,0.0835895010354716,-0.08053638670356575
25204,0.08912794226396656,-0.06326165159446326
26672,0.08477089944815953,-0.07007031295530385
24216,0.08433691460648572,-0.06789424766468491
25142,0.08697126766742501,-0.07096523147604064
27402,0.08345359430212394,-0.0640648076966222
24271,0.08904095558544645,-0.0703797690297609
16043,0.08729375093176495,-0.0628022778247241
19124,0.08648519171872554,-0.07723430632234624
24366,0.08346557472098338,-0.07159825340125256
19868,0.0834514641178873,-0.0763797400383399
20602,0.084814190325263,-0.0652605231398097
23683,0.08174880557882788,-0.06539135347125798
18876,0.08481297739021694,-0.08008390873439658
23788,0.08542338498563293,-0.05812322099848856
15056,0.0846769904195622,-0.05918551072295826
28386,0.0837380577800215,-0.06655080904544869
26456,0.08477397681149228,-0.06854584433432874
23468,0.08165773918304704,-0.060128879140240926
20820,0.08341229098097062,-0.07489638495358261
22853,0.0859088387459765,-0.06583858232799158
16261,0.08362978190026435,-0.06541624844186285
16421,0.08272537086592956,-0.06456034054907701
21130,0.08948933718441646,-0.07693401180435555
18041,0.08657749213107645,-0.07366478199541279
15888,0.08842182223329728,-0.0746153611601698
24588,0.08454887683444198,-0.08604046835280488
