,ki,__lnsigma
0,0.06731998042151457,-4.655150529096666
1,0.06366960184282568,-4.659292456796547
2,0.05980152864818611,-4.644606564707036
3,0.05701943046058271,-4.7146044704697525
4,0.06527741751428927,-4.556588042918479
5,0.06177302047261311,-4.629064146493698
6,0.06536545376063688,-4.628543591685957
7,0.05275716194205305,-4.629772164368578
8,0.05609560486993151,-4.659429820598065
9,0.06789839643677524,-4.633681257566097
10,0.07120358044052583,-4.6394253860319585
11,0.06050288993207182,-4.631618720705904
12,0.06182485662709602,-4.516603654445841
13,0.0643602276391645,-4.7231222538324955
14,0.06213527655258286,-4.691750341779417
15,0.06582481800031832,-4.657082640164304
16,0.060195270220000194,-4.630121830185642
17,0.06002569864852933,-4.6480643827362345
18,0.06141265436550435,-4.6458824739310565
19,0.05502301491262899,-4.606394491637827
20,0.06344376666062876,-4.657034979584982
21,0.06357860301229121,-4.666730172521813
22,99.51678580117022,-3.075150356187499
23,0.056206809083971826,-4.627080573603553
24,0.05758177574329016,-4.672467273509484
25,0.05657242311427484,-4.6189798996766855
26,93.84905805898343,-3.1045890276337733
27,0.06756247377477781,-4.664532113968432
28,0.0633850410132957,-4.598400848343534
29,0.05071213233156126,-4.639475257559587
30,0.06429843062796863,-4.61161435566076
31,0.055710527885500724,-4.593577423167851
32,0.058689563973050154,-4.645478183148657
33,82.8249251761036,-3.1189984803460162
34,0.04888553697178309,-4.59351054390838
35,0.06133956513952139,-4.660372086921045
36,0.06005390117206789,-4.634452654505007
37,0.06099786532506185,-4.585330854125899
38,0.06253409388278024,-4.644777849347737
39,0.052365354040950496,-4.704191505761717
40,0.061596298753894774,-4.659951416421551
41,93.4414766719674,-3.130537233832503
42,0.06327236147261085,-4.647981878662722
43,0.05214229164208074,-4.587823444485404
44,0.06273810029742985,-4.605265474858004
45,0.07173454567856366,-4.579080918599009
46,0.06107338374540061,-4.641766412766446
47,0.06073645189706217,-4.675749359616334
48,0.05625282286012914,-4.610063226395705
49,0.061820287681816244,-4.557643079170016
50,0.06527246796158333,-4.679831970303226
51,0.06766854306000067,-4.718433239117591
52,0.0677036765958619,-4.651034353461627
53,0.05863734422684037,-4.648813748441906
54,0.05443736289690849,-4.536506705209901
55,0.058289087343831286,-4.647388390488623
56,0.058292230150344834,-4.646039253551457
57,0.052321728703300686,-4.601258606661219
58,0.06080042957653568,-4.696368927615154
59,0.05991631657997894,-4.6402316310721305
60,0.05395149285583371,-4.691887843262805
61,0.06462191851261104,-4.623928591025908
62,0.05550802978609351,-4.635314769325222
63,0.054674765444510595,-4.626936429362668
