,ki,kb
27561,0.4510057517553359,9.765402148960417
28125,0.7202405907563827,9.891650751062018
16409,0.687914181334253,9.727694029363787
16712,0.4717243593622994,9.861978445596343
27159,0.5998192009728863,9.835280270356929
18814,0.5003703580259373,9.800159977178257
25525,0.5812058854752846,9.836027350640839
16762,0.8982661598037383,9.90896645089481
17247,0.45398159793171294,9.746224511462659
21676,0.581309955138258,9.654752830665853
27080,0.9509760979987838,9.905536416594812
25072,0.5288745169107936,9.473347720474985
17800,0.7498121267191742,9.772586620799714
21066,0.4285027770453389,9.858864047152773
27132,0.5516493907004378,9.971563713787928
28393,0.480313635367941,9.95533518676362
15388,0.5930393629427586,9.481612919156708
16049,0.7257951129262624,9.792969799854808
19164,0.6268581675120183,9.806757247175353
18149,0.7781420634281319,9.955049135240145
17711,0.6430719974980978,9.966651285169165
15063,0.5865023554920247,9.97369930465385
20396,0.41119664338336837,9.88092369928697
16219,0.4975778491961262,9.51525425828813
16855,0.6475194236214953,9.731144013224705
22252,0.5033869593273244,9.718275398448453
25085,0.6712985638941746,9.864660357415318
27100,0.8134248324707716,9.713555136649697
17880,0.7414247149154549,9.883178730451567
15057,0.44707907960427834,9.962157375805097
26423,0.8794761458391653,9.982013806799408
26593,0.7563932986667152,9.98302930396124
17702,0.5392731377728431,9.951590922235567
15810,0.7183584747562906,9.864753671702239
15038,0.7004588981774515,9.67981568837852
27965,0.8731639233192581,9.940158856494532
21508,0.5846400696825815,9.825031885188606
17060,0.8360351481843828,9.976970060817901
25685,0.6832638722873086,9.93029590845433
23580,0.6507422346465074,9.93588275981057
23066,0.6497718869978532,9.937290205412337
27038,0.7284157781007111,9.906106887260648
16535,0.9224188920834984,9.96513887128543
19793,0.4474167619541506,9.716393476022366
16755,0.5995481118711882,9.41153769392733
21599,0.6327378047370718,9.987276753530802
15857,0.9258579308288324,9.992076386057827
25693,0.765281623188727,9.687158609041603
18366,0.9997410025830664,9.982520460439599
15268,0.5209163307545223,9.77969116592668
20536,0.47827618513723513,9.379458922316374
22213,0.4818269176482227,9.960966148798745
20261,0.5318134882874944,9.756318326023779
23510,0.830702781475642,9.888660071079858
27680,0.5974776215301458,9.866110649660389
22432,0.8438117918154211,9.83804531595161
18217,0.4582050110703973,9.84445298470417
16481,0.7208908365251625,9.724695881641136
