,km,kf,__lnsigma
0,6.910733193847261e-08,0.37253932127825556,-6.077667374001059
1,4.1325872572731877e-08,0.3845684847825882,-6.181069607699367
2,5.501598430119134e-08,0.38033198413358177,-6.166020682694623
3,3.812473803625463e-08,0.38273981893657427,-6.154296283522935
4,5.688476008413773e-08,0.37880170788063955,-6.1956056989902155
5,6.164198706891973e-08,0.3747646428656524,-6.209120050627929
6,4.4011791944977154e-08,0.38318013610966467,-6.243718704336186
7,4.962773881508274e-08,0.37790519444535686,-6.137995113820623
8,5.112338141693313e-08,0.3854785486648744,-6.107193574225947
9,5.6530436784308355e-08,0.38282063984215037,-6.079675741135264
10,7.661520620971279e-08,0.3762897520362628,-6.154380428302759
11,5.236148354443393e-08,0.38477445990700876,-6.1794354746953655
12,6.999977487232884e-08,0.3705165110079706,-6.166276021849011
13,4.885756569630734e-08,0.3809589929168965,-6.243035442872126
14,4.0718244212568946e-08,0.38484879517691956,-6.210866519089468
15,5.3740936686936994e-08,0.37816867195106474,-6.143528754255211
16,7.48554909992176e-08,0.36841588419321153,-6.174731855669677
17,4.6197400001072173e-08,0.3863882597140201,-6.159527841115237
18,3.0325868842872397e-06,0.33530212203833626,-5.592636334865137
19,5.4663941393919836e-08,0.3833753526792335,-6.074588093500973
20,1.6075659649150608e-05,0.2998590702730409,-5.398325688727825
21,4.2219261821346186e-08,0.38773071723869873,-6.086437034934273
22,4.861393501056187e-08,0.3829374541819787,-6.214248400379189
23,6.470178346599716e-08,0.3791604955764748,-6.264803945660891
24,5.088409301922499e-08,0.38465840272078533,-6.172847382375373
25,3.835176715351021e-08,0.3904963632742174,-6.160977664834305
26,5.744537824212073e-08,0.37921952234388573,-6.193688304227373
27,5.074541293758572e-08,0.3812890190437,-6.187826415473371
28,4.0473518281472815e-08,0.38215119806262127,-6.2405269412766255
29,4.240053368955984e-08,0.3803837454047854,-6.108574355862655
30,4.779854170481245e-08,0.3844640161705131,-6.232026009618857
31,5.364139241538045e-08,0.3814694403023108,-6.195350323278493
32,7.380916244648987e-08,0.3737426134434788,-6.130396617520701
33,6.201593687247649e-08,0.3749571069676141,-6.217971417828315
