,km,kf,__lnsigma
25130,5.987363472684879e-08,0.37974819989900216,-6.053536723815512
22847,6.506867706741618e-08,0.3786172288308236,-6.060639566828118
25496,5.657375935611057e-08,0.37613135815665155,-6.1555213617809335
15939,7.355050482786022e-08,0.37926955694015113,-6.163610544214249
22456,5.2789513409652416e-08,0.3741998910200549,-6.164293743331415
24801,6.591209848629151e-08,0.3806576806697437,-6.139127782187131
15526,5.803748736779065e-08,0.37902623167250377,-6.12657215349915
27488,5.185948827275705e-08,0.3824921784082399,-6.07036538113242
15410,6.125881223879378e-08,0.3804103215509707,-6.199970132304834
17673,6.734214933273408e-08,0.3731263194100951,-6.1587391866393135
18658,5.596772690066885e-08,0.3754670351010407,-6.176473644537616
19075,5.780673163821693e-08,0.3763076891360715,-6.197589084879776
21319,5.52101107702132e-08,0.37438846693372163,-6.185643769532595
27791,5.20061764462818e-08,0.38153295063129344,-6.16515993823295
18435,5.4081410710988773e-08,0.3813353428726796,-6.1629666073939156
19124,5.4277757295037474e-08,0.37892028448970627,-6.125791874842968
24877,6.291237133828557e-08,0.3738521747700704,-6.122732965958887
21667,7.270165095866513e-08,0.3727671064219409,-6.1469251690368125
15749,6.367882984080568e-08,0.377483144248001,-6.104063853607839
27414,6.15824691472107e-08,0.38307006167276253,-6.154073778025
24028,5.785822676062157e-08,0.3777176450605845,-6.128878711396477
23798,5.819218836446032e-08,0.3768134932478477,-6.216198916591136
19182,4.898428586601288e-08,0.37939189733980644,-6.064130849530692
25983,5.5711319672153646e-08,0.38274903912901576,-6.147981163947044
18545,6.93622850805819e-08,0.37577032916615705,-6.1649290000111785
22062,5.4549150813654663e-08,0.3762192934298558,-6.188119220635721
28043,6.153375175576194e-08,0.3751711083197898,-6.1136009261751765
18986,4.7730492868825883e-08,0.3787857543603322,-6.236521043972204
15228,4.7107566404740574e-08,0.3867351039558948,-6.123072851511663
18324,7.37980777194732e-08,0.37090127277088747,-6.193633797363911
24224,4.819441862184308e-08,0.3841773676369621,-6.132488172487827
17913,5.0233619698546125e-08,0.3789927516017882,-6.171690026162923
17952,6.039200376703975e-08,0.3734123495361467,-6.189897517118547
27493,5.986487065254504e-08,0.37229091446919516,-6.1837311170828615
26699,6.404164970044918e-08,0.37486668323738853,-6.145175591689292
23443,5.413633908463541e-08,0.3764986124635323,-6.140686386092699
26669,4.382544174617129e-08,0.3841248498105196,-6.117607092921346
15593,5.052479074572061e-08,0.38235700182056676,-6.162272960173179
24465,6.104122684542944e-08,0.3765300728653252,-6.081978276295321
16840,5.077750903878098e-08,0.38499171787539244,-6.177211514674559
15545,4.147048818534356e-08,0.3861740262415717,-6.249813320530722
23914,4.753588912656991e-08,0.3815257423468641,-6.1550801997368065
24582,5.408858577872887e-08,0.38263788921723374,-6.1514629679843935
24116,4.516718820682357e-08,0.38102760154192494,-6.154645153917439
21994,6.796398999520746e-08,0.3733482304648333,-6.131278555754216
19941,4.699300580625657e-08,0.3824359517777356,-6.222719067521823
23030,5.462394055739913e-08,0.37542432905514556,-6.182850853066301
16474,4.523913309975094e-08,0.38508752049773626,-6.189673561275455
24281,5.0378684757289505e-08,0.37821887198241805,-6.142303194215754
25090,5.013785457626105e-08,0.3837727861408918,-6.127543649532801
23539,6.089842900848023e-08,0.3717584298017635,-6.16129426022363
19628,4.943766567023746e-08,0.3798163808198979,-6.111550560338856
23214,5.133491435214724e-08,0.382378245488405,-6.0732347327004454
15925,4.742290196765642e-08,0.3824226362110552,-6.162580574158632
26427,4.6309744179540273e-08,0.38610901082918614,-6.175813329403821
28117,4.2064383130640616e-08,0.38490300402521843,-6.10409569214121
26512,4.691495888391405e-08,0.3786702205960746,-6.244189700184948
27686,5.837482315612742e-08,0.37769590836316436,-6.245020884462985
22794,3.934132749725117e-08,0.3868566131977978,-6.183520337667252
26842,4.895038450518989e-08,0.38381419077278134,-6.165649539279737
27353,4.969242296177697e-08,0.3805976872952865,-6.183081925254827
21097,5.571425893873565e-08,0.3788369680017316,-6.218610832601951
26379,5.462994595488346e-08,0.37798398172884945,-6.22915440553055
25750,7.011229052252097e-08,0.3821087199745068,-6.08097315703575
24127,5.110475891390337e-08,0.38058806867321177,-6.044684925119233
16678,6.233872410754184e-08,0.3786696085051014,-6.233575700918727
23098,4.7299683097503916e-08,0.38190507517558714,-6.2335099394473605
18469,6.494450112272534e-08,0.37629398692042615,-6.232482464662954
18450,6.48513860824897e-08,0.3800276446508109,-6.252282866874522
26312,4.258650087696668e-08,0.3817218764697216,-6.1934714979674785
21384,3.797314556060959e-08,0.3852778127377778,-6.117724301571612
22128,5.5879883188641934e-08,0.3768704247352574,-6.210880212375115
26343,5.057298940066067e-08,0.37943875173635183,-6.1056766140837295
19851,5.1547345362789425e-08,0.3800455586534643,-6.223276929096068
