,r,b,tau,kk
25533,1.451851751048956e-11,146.10391879230284,31.42382238015585,-3.5864714386472865
26724,1.0636348180698288e-11,213.5432042531946,30.62538149803183,-8.242625392542744
27824,1.150908799050272e-11,189.43198979838448,30.168856501063686,-7.023050507232547
28165,1.0755061908914305e-11,201.3145535207594,30.225755299078838,-7.6237964129209255
16574,1.1180652140336536e-11,218.37790671158828,31.596788606264166,-9.340376864985389
25967,1.249881116809344e-11,180.38274305401387,31.0628728053775,-6.3960105150702
18749,1.2502937890330092e-11,165.18653525457734,30.12175626138881,-4.2629236920501095
24582,1.1418460252006064e-11,187.44047500132075,30.194336983591814,-6.393758087623608
22282,1.0314721180183311e-11,227.75441854629392,31.478919560839845,-8.697994082079402
25479,1.0550153950482006e-11,222.28531229864893,31.370965195760512,-8.023797793432642
22938,1.1794717326914706e-11,180.00829517191295,30.087895589460043,-5.616647377060309
21917,1.2043460755812124e-11,187.10290928352487,31.355140578052563,-6.784478290902077
25191,1.2170075471122601e-11,199.46210601184524,32.06773789061818,-7.151253036015075
26130,1.1454975886427498e-11,187.72355480379312,30.444352460619776,-6.191961944630781
17851,1.1049062988121827e-11,207.08959854296745,31.183476291570518,-7.717408620734169
25822,1.3244317918854749e-11,160.24987399643456,30.147627701445387,-5.362118979536904
26231,1.1011239819572543e-11,201.26826217562865,30.362934484070784,-7.921698993067919
23779,1.1906270425083746e-11,182.18841945432902,30.26777668707651,-6.9560404946111865
19844,1.2465112362795973e-11,210.81099606464687,33.63486664523276,-8.177562827677763
27264,1.165756259744328e-11,176.77987245952437,30.17623956530292,-5.329285890933584
27698,1.064360776724913e-11,205.4361529623004,30.211227358013097,-6.907139619726699
27280,1.4092524340184302e-11,145.0877074390031,30.825083989344538,-3.746806885023089
27722,1.0772091657285879e-11,218.35254095136338,31.513255920214753,-8.435278395486637
20332,1.3529060697687136e-11,150.275651707238,30.43615698005663,-4.123593876376379
23491,1.2093725335343082e-11,178.56555794395385,30.87415412036572,-5.553655695886215
19838,1.326300891611427e-11,158.58029223502766,30.21644171348914,-5.5028680467518925
19416,1.1146036530354e-11,208.3839243296106,31.488459844101843,-7.170432413496259
18222,1.1543503541818837e-11,202.76974169030933,31.541226627342013,-7.46001907366357
19469,1.4002895643254534e-11,160.46340083582322,31.357380599784296,-5.317386795907193
22149,1.0329181066690439e-11,211.97153121227333,30.242674060650664,-8.075161509027806
18769,1.3464361808836212e-11,160.29544032139327,30.903423636442,-5.00263416392138
20363,1.2077452730424753e-11,203.91932381437255,33.116264364602145,-6.5151280370265505
25724,1.4004113408787451e-11,148.38714052163647,30.24176800003104,-4.071623743677735
19248,1.1550167675662291e-11,201.04938301261888,31.34796723312659,-7.431253140770114
24953,1.0093533096486072e-11,229.5773848094442,31.234503432900162,-8.798255378069463
22754,1.2239769480529946e-11,216.25839218952214,33.21697213528252,-8.7832430003334
23073,1.3934572985465392e-11,153.49257517844927,30.71803872540213,-4.934035157100374
25481,1.0862245526201523e-11,238.3495563768162,32.6780701021538,-9.667515248073874
19182,1.2343910624381035e-11,174.2563858445622,31.138138665265085,-4.800904063579898
18500,1.0824822673074954e-11,253.43219266014825,33.80726405591921,-11.022266605691243
15929,1.0727955958232307e-11,244.24479139820141,33.410206873594426,-8.980758037250709
15703,9.884069934896421e-12,255.4565374752167,32.053864254856116,-10.235179754889574
25129,1.2374350437413708e-11,165.7913594410554,30.079950837948946,-4.842740206434205
22589,1.1425793249002904e-11,190.17029007385344,30.4210634782264,-7.013717410912834
17077,1.1212646073142192e-11,225.46684875351812,33.12368788674098,-7.951278796075948
24796,1.0819255512984788e-11,235.43443703354498,32.715832472698445,-9.271866634408093
20221,1.1424963359732442e-11,186.9316445087184,30.259978218575664,-5.8144704176053805
28098,1.0290848292304977e-11,215.46577673029276,30.4857831269004,-7.472714160011905
20151,1.0584075245571683e-11,209.87248404445586,30.51162984929872,-7.537729966641245
27819,1.2429215968355266e-11,176.95631597734172,31.480200095513815,-5.057846146236596
25651,1.2022315035206323e-11,179.13671753964735,30.666097215882207,-5.521568243634956
15591,1.153872159542905e-11,204.90435826449266,32.46547428160241,-6.714390826761628
22801,1.2220527051539583e-11,171.27606946645076,30.502053279008173,-4.892423999728101
15109,1.0036324732068388e-11,223.45370994645955,30.231456410103426,-8.265319340155978
19145,1.195893523992533e-11,179.2473105080934,30.255779595447624,-6.1114315105520065
22408,1.263057487491266e-11,166.62347005901347,30.520128225950934,-5.246924617928419
23531,1.0795443254278883e-11,191.04606200622808,30.061341693181422,-6.182600830135803
17501,1.4126698213004981e-11,143.54029655524812,30.696301289526016,-3.2582788909149434
28073,1.1371321841425506e-11,192.63655005547702,30.789024691839355,-5.955699148946454
20638,1.2478038995670032e-11,198.30987143290693,33.154883296532596,-6.695304756034712
20401,1.2697122393025764e-11,195.08697458454577,33.411344838126,-6.095740272089004
17980,1.087340249417402e-11,200.08978013594523,30.1839003706474,-7.336243616877764
27677,1.2534313392509188e-11,169.5132066413924,30.19294892507784,-6.042229611933292
27623,1.0955990261572262e-11,198.41230013035602,30.82706887080899,-6.422496328782352
25244,1.3059313571159997e-11,155.24743056619175,30.254424436285227,-4.402401565515232
16738,9.587294104283887e-12,235.92780114820332,30.328752003982395,-8.861575655103053
19406,1.108562238441191e-11,195.69904338714727,30.28590377877928,-6.684458552099596
20365,1.2601734775851766e-11,180.99321874960623,31.631766972799518,-6.3911379269503925
27242,1.1432596095094031e-11,180.4847841867987,30.062628037275566,-5.893113997928697
21063,9.867618734723158e-12,239.1867617798292,30.749094163462452,-9.827135577554808
24233,1.0698911227669577e-11,212.45814845227108,30.714921008990675,-8.248824171593945
26844,1.1973834315922682e-11,176.14445027440456,30.07037901740994,-6.367698671238939
