,r,b,tau,kk
17505,0.010179914116213783,111.90931429586496,-362.6827373948522,118.30250891982362
21249,0.007943364238394755,156.18340483672222,-400.37999958008345,127.3943457426618
21518,0.008428816237571688,153.14170499975538,-338.1024338741509,118.06206552089509
26285,0.0068827197798526285,185.84879710598818,-401.45959061957996,128.92254956028435
15031,0.010823215929221728,101.61935589737773,-349.3914725095242,114.2876046055503
23866,0.007274167495661955,178.0062857830564,-393.4048151307012,128.77699345624436
18733,0.007333597515528499,176.3471527937345,-395.0504304981228,128.03786643774004
23589,0.007303846996918346,182.77933222330864,-366.7702887285163,124.34414370881504
18721,0.008388184074225574,146.22346088841758,-387.9635532971668,126.43651949550318
15532,0.010091192304381765,108.97959438814004,-358.8663456299043,116.29364308043719
27362,0.011094142106584375,94.86291388482246,-330.6904525535164,109.98479580112786
21647,0.007659765825853177,171.5981050318959,-365.38389126316855,123.22718328304771
19772,0.007521214145577715,164.8689852258971,-407.0534999196569,129.08022436603434
17120,0.00918543396579575,124.79465632346314,-348.53447515778913,115.4383348610563
19492,0.0058646029248012165,233.3345914611994,-408.8503496371627,131.6582617540135
17112,0.009700633352932295,124.73511453337537,-348.44989444928854,120.45096281634987
17948,0.010987148758137095,100.42451803966732,-373.56118838817406,119.4127758121841
19402,0.01055980087684979,104.51664370678677,-396.6524371035993,124.9915407255779
16201,0.009847675607803434,112.77920364490357,-340.4097708844573,112.23967344505385
28317,0.00990152978154964,113.69667440563273,-375.99020373770355,120.34511565012687
26578,0.008232615794356893,145.04211879327437,-343.1766059103053,115.5157910199453
24999,0.009212770001426476,121.21927207976717,-418.2997881068715,126.57111733226574
23807,0.009983152865486834,111.4456203695183,-356.2311602582082,115.57917599197519
25701,0.009683501281806652,121.37131153705015,-389.4752462896402,123.63796814670714
19309,0.008216204244830608,149.20978760368195,-399.1652915226078,127.96108043300148
21838,0.009455328909377303,118.31962844958848,-341.4263842809778,113.00738793127394
15317,0.009243443629897534,125.14840204261849,-394.4089959403895,124.94720674331309
23143,0.009645320817178374,121.84586590225145,-333.12198327848984,113.519434563043
25385,0.011967724460389063,85.1682992276614,-348.1615472473693,112.16428845036548
27204,0.009775764299080232,108.61925410527263,-396.5557326002768,121.74213920207686
22761,0.00894740924355492,125.44457789927978,-365.0471598813987,116.99419153519908
24622,0.008957989317718176,133.0807151521028,-345.3535151734825,116.20014205357025
16145,0.008377965243608825,145.14079349787906,-377.4821689502203,123.16583893370361
28061,0.009414764602406806,120.22179761797034,-396.8163559647172,123.85157507957226
20996,0.01101189908857785,92.90003815946106,-362.24485965113627,114.41651652317621
21872,0.010547073253450568,106.60128458443563,-346.4625027534641,114.3406095012783
25909,0.008513043285538117,143.66812551576973,-358.27250685941743,119.31412652746361
21119,0.007415896199686937,167.41658645079286,-357.3363151623229,118.31262808613643
19047,0.006197114557898014,214.49504475066962,-387.91294935424384,126.85419081019506
19582,0.010723355730802776,98.84713361876106,-345.48222674057143,113.37277284637597
26456,0.010329334129201588,108.01280052174076,-351.66181988452934,115.39340572582333
19662,0.010161747949783431,111.01109336769132,-396.16762198221153,124.11045153859746
19887,0.009274984346331195,122.96907774044655,-354.0599882850939,116.2708697057079
18036,0.011988916825583501,84.64784320932029,-333.39995699440806,109.51678862132728
25099,0.009114830398297491,128.38315023184657,-368.2769348479046,118.66038214782054
18116,0.011458404065158717,94.43294885308785,-324.2380752042702,109.51186003918004
24848,0.011552554461237867,91.42052260527505,-338.47989901553933,110.24180446260758
24977,0.009672638691732937,113.99116675321278,-332.1293642187576,111.6886630939955
24962,0.00994267186449016,115.93512535930884,-366.30799458398786,119.9601676298847
18478,0.010334361263574761,107.92329916983337,-370.6973171405989,120.20039889971578
25254,0.009324982188059088,127.88550951968864,-371.1037911567079,121.4098712472774
25545,0.007404291573641304,179.11207569931418,-362.1655431260424,123.21401493316904
20105,0.006825610513579032,194.95719660742316,-355.02748505021873,119.68555429896291
20545,0.010931215259318878,98.62115768344239,-328.4591597715638,110.1332642716389
22068,0.010451037541902616,102.40677553142572,-408.47164104322275,125.1469631229637
17523,0.004877137350958676,315.16668194587,-392.16397716952054,131.72010704851812
20410,0.010565974838817407,102.78572603089663,-384.7847137075295,120.18838019179891
18508,0.011896715361118446,87.66456299286389,-352.68282224675113,113.14967539058922
16183,0.008869976686399864,128.08135736143197,-383.69483928962507,121.37813176862218
24659,0.008434665495421058,139.54940251944763,-414.08758050964855,129.31335830322826
23401,0.009343658051420576,119.89600713473736,-366.60194994567644,119.13613734395925
