,r,b,tau
17838,0.03765191161589537,283.5943869550956,75.21052908425774
16008,0.027134256349099748,200.90043783698974,58.88363216200014
22709,0.030220440525428466,211.44597146093147,61.574515187684256
24143,0.028306292220888506,227.68153605450385,62.099463731761816
19662,0.027187221459118317,196.9663031661316,61.97344372380663
24582,0.03773179389501891,251.36785654490714,74.89557841603661
23186,0.034817131133180156,208.95246004644486,67.09947769701525
17257,0.026378885468513552,225.99488122484922,63.80554119213297
16833,0.034855129818470436,265.4847034994367,70.58809194014191
17541,0.026108198856112617,245.3351529689486,61.592215476705874
18458,0.034263874256639786,254.18390510051051,71.18228267645777
24010,0.038133902900411715,246.46975514256462,74.31364208124829
25116,0.031227319603821538,262.7286100810662,71.77617485325243
23947,0.03335102946172982,266.1352906022518,70.99131599546612
15540,0.036716164321739096,207.08645467032875,69.84998938242568
22076,0.028855428089909044,243.28145445381804,65.5755849510176
26425,0.02745119686341447,206.61925028226534,60.34863421027371
24724,0.03842090716567312,166.98351132999142,65.90376646330637
15944,0.03611701980904188,249.56997924402398,71.75579451353343
18082,0.0304187708918611,260.794026103144,68.51109564812884
16400,0.028961959358018655,244.34916952437464,66.07559684857114
15057,0.037256492319022755,186.19015381461116,67.05759546597038
26767,0.028748746027923384,270.33764779227806,70.87740199208079
23882,0.03758909252143228,204.81593888345452,68.24430768690316
16976,0.03480168114937678,214.47826692305614,64.84752677573289
26219,0.03557445510078283,244.85974752450647,72.10703481171257
17368,0.030808387905058122,285.7264690209329,70.46010275206442
22394,0.03434561437456924,208.090882322079,66.62270980931339
15087,0.03096088825206261,198.12681146953105,64.10023966154107
26843,0.03666792801590042,210.4541843639509,70.64887799350353
17418,0.03176733402149115,248.92372394731342,66.7747495772098
18174,0.035504134644995175,294.804679607179,74.8924306272269
23481,0.030406904061730144,202.37563953343917,63.11603927933054
20628,0.03054733880749885,205.06547264730196,60.645327417484225
19508,0.031211831930507958,158.29459642210358,60.977823653030356
25589,0.03701260549399571,261.31161202770477,73.37713029772182
27223,0.03182531574584496,286.58944944953333,71.3742725394448
26930,0.03092354292296151,255.8480891466242,71.69626343668571
18086,0.028367421805551005,179.50996898764942,58.7431114826549
23562,0.02811862630888127,285.65940767054605,68.27362159140785
27034,0.03355856540769005,336.3248482503859,74.76989597407645
